"track__album__name","track__album__release_date","track__duration_ms","track__id","track__name","track__uri"
"Elyanna","2020-02-07","179988","0fRIzjNaVxFqwoLg8rfQX5","Ana Lahale","spotify:track:0fRIzjNaVxFqwoLg8rfQX5"
"Head & Heart (feat. MNEK)","2020-07-03","166028","6cx06DFPPHchuUAcTxznu9","Head & Heart (feat. MNEK)","spotify:track:6cx06DFPPHchuUAcTxznu9"
"Legends Never Die","2020-07-10","205484","2Y0wPrPQBrGhoLn14xRYCG","Come & Go (with Marshmello)","spotify:track:2Y0wPrPQBrGhoLn14xRYCG"
"ily (i love you baby) (ARTY Remix) [feat. Emilee]","2020-05-04","187330","3mCWozLIaOzbYzyshABNwD","ily (i love you baby) (ARTY Remix) [feat. Emilee]","spotify:track:3mCWozLIaOzbYzyshABNwD"
"Levitating (feat. DaBaby)","2020-10-01","203064","463CkQjx2Zk1yXoBuierM9","Levitating (feat. DaBaby)","spotify:track:463CkQjx2Zk1yXoBuierM9"
"High On Life (feat. Bonn)","2018-07-29","230761","4ut5G4rgB1ClpMTMfjoIuy","High On Life (feat. Bonn)","spotify:track:4ut5G4rgB1ClpMTMfjoIuy"
"Why Do You Lie To Me (feat. Lil Baby)","2020-08-28","171290","1Mu0qs9DQ8OfhiPvHxZMMM","Why Do You Lie To Me (feat. Lil Baby)","spotify:track:1Mu0qs9DQ8OfhiPvHxZMMM"
"Lemonade (feat. Gunna, Don Toliver & NAV)","2020-08-14","195428","02kDW379Yfd5PzW5A6vuGt","Lemonade","spotify:track:02kDW379Yfd5PzW5A6vuGt"
"Evolve","2017-06-23","204346","0pqnGHJpmpxLKifKRmU6WP","Believer","spotify:track:0pqnGHJpmpxLKifKRmU6WP"
"Paradise","2020-10-30","167903","6ft4hAq6yde8jPZY2i5zLr","Paradise (feat. Dermot Kennedy)","spotify:track:6ft4hAq6yde8jPZY2i5zLr"
"JACKBOYS","2019-12-27","157712","6gi6y1xwmVszDWkUqab1qw","OUT WEST (feat. Young Thug)","spotify:track:6gi6y1xwmVszDWkUqab1qw"
"Too Much (feat. Usher)","2020-10-23","165704","39umHdGKfpnjY4TFtnoQ51","Too Much (feat. Usher)","spotify:track:39umHdGKfpnjY4TFtnoQ51"
"ASCEND (Remixes)","2020-05-15","247384","42iaZygYmdyZomAtvPoxG1","Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix]","spotify:track:42iaZygYmdyZomAtvPoxG1"
"Prisoner (feat. Dua Lipa)","2020-11-20","169333","5JqZ3oqF00jkT81foAFvqg","Prisoner (feat. Dua Lipa)","spotify:track:5JqZ3oqF00jkT81foAFvqg"
"Higher Ground (feat. John Martin)","2020-05-14","206279","0rohJsT6NWsThpukt0Xxdc","Higher Ground (feat. John Martin)","spotify:track:0rohJsT6NWsThpukt0Xxdc"
